RUN                  numCycles       CPI            
m5out_max_M1         495007          0.773873       
m5out_max_M2         326064          0.509755       
m5out_max_M4         305845          0.478145       
m5out_max_M8         303667          0.474740       
m5out_med_M1         99610           1.113932       
m5out_med_M2         81777           0.914506       
m5out_med_M4         79479           0.888808       
m5out_med_M8         79479           0.888808       
m5out_min_M1         73834           1.384578       
m5out_min_M2         61207           1.147789       
m5out_min_M4         58644           1.099726       
m5out_min_M8         58565           1.098245       
